Event: RBI Repo Rate (2010-03-19): Top positive sectors: NIFTY PHARMA, NIFTY PSU BANK, NIFTY MEDIA (CARs: 6.05%, 4.18%, 2.56%). Top negative sectors: NIFTY REALTY, NIFTY METAL, NIFTY IT (CARs: -26.43%, -14.33%, -10.09%).
Event: RBI Repo Rate (2010-04-20): Top positive sectors: NIFTY PSU BANK, NIFTY FINANCIAL SERVICES, NIFTY BANK (CARs: 37.81%, 29.73%, 28.02%). Top negative sectors: NIFTY PHARMA, NIFTY IT, NIFTY CONSUMER DURABLES (CARs: -0.25%, 0.61%, 11.19%).
Event: RBI Repo Rate (2010-07-02): Top positive sectors: NIFTY IT, NIFTY PSU BANK, NIFTY BANK (CARs: 15.04%, 14.71%, 13.97%). Top negative sectors: NIFTY MEDIA, NIFTY FMCG, NIFTY CHEMICALS (CARs: -10.89%, -7.16%, -6.12%).
Event: RBI Repo Rate (2010-07-27): Top positive sectors: NIFTY PSU BANK, NIFTY AUTO, NIFTY MEDIA (CARs: 29.66%, 26.85%, 14.61%). Top negative sectors: NIFTY IT, NIFTY PHARMA, NIFTY METAL (CARs: -4.4%, -2.83%, -2.41%).
Event: RBI Repo Rate (2010-09-16): Top positive sectors: NIFTY FMCG, NIFTY PHARMA, NIFTY MEDIA (CARs: 12.87%, 11.84%, 6.44%). Top negative sectors: NIFTY IT, NIFTY CHEMICALS, NIFTY METAL (CARs: -20.21%, -7.41%, -7.01%).
Event: RBI Repo Rate (2010-11-02): Top positive sectors: NIFTY CHEMICALS, NIFTY PSU BANK, NIFTY METAL (CARs: 31.2%, 19.98%, 19.18%). Top negative sectors: NIFTY PRIVATE BANK, NIFTY REALTY, NIFTY CONSUMER DURABLES (CARs: -8.54%, -5.36%, -1.31%).
Event: RBI Repo Rate (2011-01-25): Top positive sectors: NIFTY FMCG, NIFTY IT, NIFTY CHEMICALS (CARs: -13.61%, -16.35%, -17.33%). Top negative sectors: NIFTY REALTY, NIFTY BANK, NIFTY PRIVATE BANK (CARs: -50.58%, -40.72%, -40.43%).
Event: RBI Repo Rate (2011-03-17): Top positive sectors: NIFTY CHEMICALS, NIFTY REALTY, NIFTY MEDIA (CARs: 5.06%, -2.59%, -2.92%). Top negative sectors: NIFTY PSU BANK, NIFTY AUTO, NIFTY BANK (CARs: -14.96%, -13.42%, -12.3%).
Event: RBI Repo Rate (2013-05-03): Top positive sectors: NIFTY METAL, NIFTY CHEMICALS, NIFTY MEDIA (CARs: 13.93%, 6.09%, 5.59%). Top negative sectors: NIFTY PSU BANK, NIFTY BANK, NIFTY PRIVATE BANK (CARs: -16.63%, -11.85%, -9.74%).
Event: RBI Repo Rate (2013-09-20): Top positive sectors: NIFTY MEDIA, NIFTY IT, NIFTY PHARMA (CARs: -1.12%, -1.18%, -2.45%). Top negative sectors: NIFTY REALTY, NIFTY PSU BANK, NIFTY BANK (CARs: -94.23%, -88.61%, -81.9%).
Event: RBI Repo Rate (2013-10-29): Top positive sectors: NIFTY PSU BANK, NIFTY REALTY, NIFTY BANK (CARs: 71.98%, 50.8%, 40.89%). Top negative sectors: NIFTY IT, NIFTY FMCG, NIFTY PHARMA (CARs: 2.19%, 16.32%, 17.02%).
