0,1,2,3,4,5,6
1431.99,1427.37,1414.24,1408.42,1413.77,1384.28,1387.45
1427.37,1414.24,1408.42,1413.77,1384.28,1387.45,1383.46
1414.24,1408.42,1413.77,1384.28,1387.45,1383.46,1353.92
1408.42,1413.77,1384.28,1387.45,1383.46,1353.92,1349.16
1413.77,1384.28,1387.45,1383.46,1353.92,1349.16,1348.33
1384.28,1387.45,1383.46,1353.92,1349.16,1348.33,1298.58
1387.45,1383.46,1353.92,1349.16,1348.33,1298.58,1301.38
1383.46,1353.92,1349.16,1348.33,1298.58,1301.38,1273.42
1353.92,1349.16,1348.33,1298.58,1301.38,1273.42,1298.31
1349.16,1348.33,1298.58,1301.38,1273.42,1298.31,1288.13
1348.33,1298.58,1301.38,1273.42,1298.31,1288.13,1276.65
1298.58,1301.38,1273.42,1298.31,1288.13,1276.65,1278.96
1301.38,1273.42,1298.31,1288.13,1276.65,1278.96,1266.73
1273.42,1298.31,1288.13,1276.65,1278.96,1266.73,1272.61
1298.31,1288.13,1276.65,1278.96,1266.73,1272.61,1255.94
1288.13,1276.65,1278.96,1266.73,1272.61,1255.94,1267.31
1276.65,1278.96,1266.73,1272.61,1255.94,1267.31,1279.42
1278.96,1266.73,1272.61,1255.94,1267.31,1279.42,1286.11
1266.73,1272.61,1255.94,1267.31,1279.42,1286.11,1300.08
1272.61,1255.94,1267.31,1279.42,1286.11,1300.08,1296.88
1255.94,1267.31,1279.42,1286.11,1300.08,1296.88,1295.51
1267.31,1279.42,1286.11,1300.08,1296.88,1295.51,1288.36
1279.42,1286.11,1300.08,1296.88,1295.51,1288.36,1294.05
1286.11,1300.08,1296.88,1295.51,1288.36,1294.05,1307.65
1300.08,1296.88,1295.51,1288.36,1294.05,1307.65,1274.75
1296.88,1295.51,1288.36,1294.05,1307.65,1274.75,1270.74
1295.51,1288.36,1294.05,1307.65,1274.75,1270.74,1275.68
1288.36,1294.05,1307.65,1274.75,1270.74,1275.68,1287.0
1294.05,1307.65,1274.75,1270.74,1275.68,1287.0,1318.22
1307.65,1274.75,1270.74,1275.68,1287.0,1318.22,1321.73
1274.75,1270.74,1275.68,1287.0,1318.22,1321.73,1331.81
1270.74,1275.68,1287.0,1318.22,1321.73,1331.81,1325.17
1275.68,1287.0,1318.22,1321.73,1331.81,1325.17,1331.97
1287.0,1318.22,1321.73,1331.81,1325.17,1331.97,1352.72
1318.22,1321.73,1331.81,1325.17,1331.97,1352.72,1343.95
1321.73,1331.81,1325.17,1331.97,1352.72,1343.95,1360.24
1331.81,1325.17,1331.97,1352.72,1343.95,1360.24,1384.31
1325.17,1331.97,1352.72,1343.95,1360.24,1384.31,1379.89
1331.97,1352.72,1343.95,1360.24,1384.31,1379.89,1381.03
1352.72,1343.95,1360.24,1384.31,1379.89,1381.03,1381.77
1343.95,1360.24,1384.31,1379.89,1381.03,1381.77,1399.33
1360.24,1384.31,1379.89,1381.03,1381.77,1399.33,1391.29
1384.31,1379.89,1381.03,1381.77,1399.33,1391.29,1361.16
1379.89,1381.03,1381.77,1399.33,1391.29,1361.16,1360.49
1381.03,1381.77,1399.33,1391.29,1361.16,1360.49,1377.61
1381.77,1399.33,1391.29,1361.16,1360.49,1377.61,1368.12
1399.33,1391.29,1361.16,1360.49,1377.61,1368.12,1390.56
1391.29,1361.16,1360.49,1377.61,1368.12,1390.56,1388.28
1361.16,1360.49,1377.61,1368.12,1390.56,1388.28,1384.56
1360.49,1377.61,1368.12,1390.56,1388.28,1384.56,1395.83
1377.61,1368.12,1390.56,1388.28,1384.56,1395.83,1390.42
1368.12,1390.56,1388.28,1384.56,1395.83,1390.42,1406.51
1390.56,1388.28,1384.56,1395.83,1390.42,1406.51,1411.38
1388.28,1384.56,1395.83,1390.42,1406.51,1411.38,1419.54
1384.56,1395.83,1390.42,1406.51,1411.38,1419.54,1438.98
1395.83,1390.42,1406.51,1411.38,1419.54,1438.98,1427.57
1390.42,1406.51,1411.38,1419.54,1438.98,1427.57,1467.48
1406.51,1411.38,1419.54,1438.98,1427.57,1467.48,1496.57
1411.38,1419.54,1438.98,1427.57,1467.48,1496.57,1488.73
1419.54,1438.98,1427.57,1467.48,1496.57,1488.73,1475.16
1438.98,1427.57,1467.48,1496.57,1488.73,1475.16,1471.79
1427.57,1467.48,1496.57,1488.73,1475.16,1471.79,1475.61
1467.48,1496.57,1488.73,1475.16,1471.79,1475.61,1487.84
1496.57,1488.73,1475.16,1471.79,1475.61,1487.84,1479.9
1488.73,1475.16,1471.79,1475.61,1487.84,1479.9,1482.4
1475.16,1471.79,1475.61,1487.84,1479.9,1482.4,1493.23
1471.79,1475.61,1487.84,1479.9,1482.4,1493.23,1480.25
1475.61,1487.84,1479.9,1482.4,1493.23,1480.25,1474.37
1487.84,1479.9,1482.4,1493.23,1480.25,1474.37,1446.47
1479.9,1482.4,1493.23,1480.25,1474.37,1446.47,1446.29
1482.4,1493.23,1480.25,1474.37,1446.47,1446.29,1437.83
1493.23,1480.25,1474.37,1446.47,1446.29,1437.83,1434.35
1480.25,1474.37,1446.47,1446.29,1437.83,1434.35,1431.94
1474.37,1446.47,1446.29,1437.83,1434.35,1431.94,1443.22
1446.47,1446.29,1437.83,1434.35,1431.94,1443.22,1458.71
1446.29,1437.83,1434.35,1431.94,1443.22,1458.71,1468.68
1437.83,1434.35,1431.94,1443.22,1458.71,1468.68,1457.97
1434.35,1431.94,1443.22,1458.71,1468.68,1457.97,1466.46
1431.94,1443.22,1458.71,1468.68,1457.97,1466.46,1460.68
1443.22,1458.71,1468.68,1457.97,1466.46,1460.68,1464.77
1458.71,1468.68,1457.97,1466.46,1460.68,1464.77,1465.64
1468.68,1457.97,1466.46,1460.68,1464.77,1465.64,1474.44
1457.97,1466.46,1460.68,1464.77,1465.64,1474.44,1486.21
1466.46,1460.68,1464.77,1465.64,1474.44,1486.21,1475.37
1460.68,1464.77,1465.64,1474.44,1486.21,1475.37,1475.78
1464.77,1465.64,1474.44,1486.21,1475.37,1475.78,1482.29
1465.64,1474.44,1486.21,1475.37,1475.78,1482.29,1498.92
1474.44,1486.21,1475.37,1475.78,1482.29,1498.92,1496.27
1486.21,1475.37,1475.78,1482.29,1498.92,1496.27,1491.97
1475.37,1475.78,1482.29,1498.92,1496.27,1491.97,1491.37
1475.78,1482.29,1498.92,1496.27,1491.97,1491.37,1478.27
1482.29,1498.92,1496.27,1491.97,1491.37,1478.27,1484.75
1498.92,1496.27,1491.97,1491.37,1478.27,1484.75,1489.07
1496.27,1491.97,1491.37,1478.27,1484.75,1489.07,1504.29
1491.97,1491.37,1478.27,1484.75,1489.07,1504.29,1526.69
1491.37,1478.27,1484.75,1489.07,1504.29,1526.69,1544.39
1478.27,1484.75,1489.07,1504.29,1526.69,1544.39,1585.56
1484.75,1489.07,1504.29,1526.69,1544.39,1585.56,1584.21
1489.07,1504.29,1526.69,1544.39,1585.56,1584.21,1593.2
1504.29,1526.69,1544.39,1585.56,1584.21,1593.2,1604.63
1526.69,1544.39,1585.56,1584.21,1593.2,1604.63,1584.18
1544.39,1585.56,1584.21,1593.2,1604.63,1584.18,1582.27
1585.56,1584.21,1593.2,1604.63,1584.18,1582.27,1557.79
1584.21,1593.2,1604.63,1584.18,1582.27,1557.79,1560.42
1593.2,1604.63,1584.18,1582.27,1557.79,1560.42,1576.09
1604.63,1584.18,1582.27,1557.79,1560.42,1576.09,1530.52
1584.18,1582.27,1557.79,1560.42,1576.09,1530.52,1537.48
1582.27,1557.79,1560.42,1576.09,1530.52,1537.48,1555.37
1557.79,1560.42,1576.09,1530.52,1537.48,1555.37,1498.15
1560.42,1576.09,1530.52,1537.48,1555.37,1498.15,1507.4
1576.09,1530.52,1537.48,1555.37,1498.15,1507.4,1516.3
1530.52,1537.48,1555.37,1498.15,1507.4,1516.3,1507.04
1537.48,1555.37,1498.15,1507.4,1516.3,1507.04,1519.06
1555.37,1498.15,1507.4,1516.3,1507.04,1519.06,1528.53
1498.15,1507.4,1516.3,1507.04,1519.06,1528.53,1514.04
1507.4,1516.3,1507.04,1519.06,1528.53,1514.04,1498.0
1516.3,1507.04,1519.06,1528.53,1514.04,1498.0,1530.21
1507.04,1519.06,1528.53,1514.04,1498.0,1530.21,1529.45
1519.06,1528.53,1514.04,1498.0,1530.21,1529.45,1474.95
1528.53,1514.04,1498.0,1530.21,1529.45,1474.95,1455.36
1514.04,1498.0,1530.21,1529.45,1474.95,1455.36,1515.99
1498.0,1530.21,1529.45,1474.95,1455.36,1515.99,1441.62
1530.21,1529.45,1474.95,1455.36,1515.99,1441.62,1455.76
1529.45,1474.95,1455.36,1515.99,1441.62,1455.76,1431.79
1474.95,1455.36,1515.99,1441.62,1455.76,1431.79,1470.34
1455.36,1515.99,1441.62,1455.76,1431.79,1470.34,1501.32
1515.99,1441.62,1455.76,1431.79,1470.34,1501.32,1513.31
1441.62,1455.76,1431.79,1470.34,1501.32,1513.31,1511.13
1455.76,1431.79,1470.34,1501.32,1513.31,1511.13,1515.33
1431.79,1470.34,1501.32,1513.31,1511.13,1515.33,1530.05
1470.34,1501.32,1513.31,1511.13,1515.33,1530.05,1534.09
1501.32,1513.31,1511.13,1515.33,1530.05,1534.09,1565.93
1513.31,1511.13,1515.33,1530.05,1534.09,1565.93,1563.56
1511.13,1515.33,1530.05,1534.09,1565.93,1563.56,1570.75
1515.33,1530.05,1534.09,1565.93,1563.56,1570.75,1564.81
1530.05,1534.09,1565.93,1563.56,1570.75,1564.81,1571.68
1534.09,1565.93,1563.56,1570.75,1564.81,1571.68,1597.27
1565.93,1563.56,1570.75,1564.81,1571.68,1597.27,1623.6
1563.56,1570.75,1564.81,1571.68,1597.27,1623.6,1625.18
1570.75,1564.81,1571.68,1597.27,1623.6,1625.18,1593.23
1564.81,1571.68,1597.27,1623.6,1625.18,1593.23,1590.24
1571.68,1597.27,1623.6,1625.18,1593.23,1590.24,1613.97
1597.27,1623.6,1625.18,1593.23,1590.24,1613.97,1658.3
1623.6,1625.18,1593.23,1590.24,1613.97,1658.3,1676.77
1625.18,1593.23,1590.24,1613.97,1658.3,1676.77,1679.9
1593.23,1590.24,1613.97,1658.3,1676.77,1679.9,1684.38
1590.24,1613.97,1658.3,1676.77,1679.9,1684.38,1703.5999999999997
1613.97,1658.3,1676.77,1679.9,1684.38,1703.5999999999997,1723.21
1658.3,1676.77,1679.9,1684.38,1703.5999999999997,1723.21,1725.7099999999998
1676.77,1679.9,1684.38,1703.5999999999997,1723.21,1725.7099999999998,1758.43
1679.9,1684.38,1703.5999999999997,1723.21,1725.7099999999998,1758.43,1784.73
1684.38,1703.5999999999997,1723.21,1725.7099999999998,1758.43,1784.73,1759.61
1703.5999999999997,1723.21,1725.7099999999998,1758.43,1784.73,1759.61,1775.07
1723.21,1725.7099999999998,1758.43,1784.73,1759.61,1775.07,1754.7599999999998
1725.7099999999998,1758.43,1784.73,1759.61,1775.07,1754.7599999999998,1688.78
1758.43,1784.73,1759.61,1775.07,1754.7599999999998,1688.78,1711.3699999999997
1784.73,1759.61,1775.07,1754.7599999999998,1688.78,1711.3699999999997,1721.98
1759.61,1775.07,1754.7599999999998,1688.78,1711.3699999999997,1721.98,1711.5899999999997
1775.07,1754.7599999999998,1688.78,1711.3699999999997,1721.98,1711.5899999999997,1682.59
