0,1,2,3,4,5,6
2505.87,2510.57,2475.29,2491.13,2439.02,2376.99,2365.47
2510.57,2475.29,2491.13,2439.02,2376.99,2365.47,2340.96
2475.29,2491.13,2439.02,2376.99,2365.47,2340.96,2256.48
2491.13,2439.02,2376.99,2365.47,2340.96,2256.48,2286.76
2439.02,2376.99,2365.47,2340.96,2256.48,2286.76,2282.02
2376.99,2365.47,2340.96,2256.48,2286.76,2282.02,2156.63
2365.47,2340.96,2256.48,2286.76,2282.02,2156.63,2161.04
2340.96,2256.48,2286.76,2282.02,2156.63,2161.04,2143.34
2256.48,2286.76,2282.02,2156.63,2161.04,2143.34,2214.49
2286.76,2282.02,2156.63,2161.04,2143.34,2214.49,2229.75
2282.02,2156.63,2161.04,2143.34,2214.49,2229.75,2242.8
2156.63,2161.04,2143.34,2214.49,2229.75,2242.8,2294.31
2161.04,2143.34,2214.49,2229.75,2242.8,2294.31,2236.47
2143.34,2214.49,2229.75,2242.8,2294.31,2236.47,2233.99
2214.49,2229.75,2242.8,2294.31,2236.47,2233.99,2205.35
2229.75,2242.8,2294.31,2236.47,2233.99,2205.35,2232.14
2242.8,2294.31,2236.47,2233.99,2205.35,2232.14,2235.01
2294.31,2236.47,2233.99,2205.35,2232.14,2235.01,2235.73
2236.47,2233.99,2205.35,2232.14,2235.01,2235.73,2254.02
2233.99,2205.35,2232.14,2235.01,2235.73,2254.02,2244.47
2205.35,2232.14,2235.01,2235.73,2254.02,2244.47,2242.1
2232.14,2235.01,2235.73,2254.02,2244.47,2242.1,2202.62
2235.01,2235.73,2254.02,2244.47,2242.1,2202.62,2219.53
2235.73,2254.02,2244.47,2242.1,2202.62,2219.53,2244.34
2254.02,2244.47,2242.1,2202.62,2219.53,2244.34,2167.53
2244.47,2242.1,2202.62,2219.53,2244.34,2167.53,2196.48
2242.1,2202.62,2219.53,2244.34,2167.53,2196.48,2231.34
2202.62,2219.53,2244.34,2167.53,2196.48,2231.34,2247.81
2219.53,2244.34,2167.53,2196.48,2231.34,2247.81,2312.09
2244.34,2167.53,2196.48,2231.34,2247.81,2312.09,2323.04
2167.53,2196.48,2231.34,2247.81,2312.09,2323.04,2343.06
2196.48,2231.34,2247.81,2312.09,2323.04,2343.06,2337.82
2231.34,2247.81,2312.09,2323.04,2343.06,2337.82,2360.04
2247.81,2312.09,2323.04,2343.06,2337.82,2360.04,2403.49
2312.09,2323.04,2343.06,2337.82,2360.04,2403.49,2392.21
2323.04,2343.06,2337.82,2360.04,2403.49,2392.21,2391.02
2343.06,2337.82,2360.04,2403.49,2392.21,2391.02,2384.53
2337.82,2360.04,2403.49,2392.21,2391.02,2384.53,2406.35
2360.04,2403.49,2392.21,2391.02,2384.53,2406.35,2371.28
2403.49,2392.21,2391.02,2384.53,2406.35,2371.28,2383.82
2392.21,2391.02,2384.53,2406.35,2371.28,2383.82,2392.32
2391.02,2384.53,2406.35,2371.28,2383.82,2392.32,2377.27
2384.53,2406.35,2371.28,2383.82,2392.32,2377.27,2345.62
2406.35,2371.28,2383.82,2392.32,2377.27,2345.62,2336.65
2371.28,2383.82,2392.32,2377.27,2345.62,2336.65,2377.88
2383.82,2392.32,2377.27,2345.62,2336.65,2377.88,2412.74
2392.32,2377.27,2345.62,2336.65,2377.88,2412.74,2407.62
2377.27,2345.62,2336.65,2377.88,2412.74,2407.62,2380.69
2345.62,2336.65,2377.88,2412.74,2407.62,2380.69,2372.88
2336.65,2377.88,2412.74,2407.62,2380.69,2372.88,2388.97
2377.88,2412.74,2407.62,2380.69,2372.88,2388.97,2379.46
2412.74,2407.62,2380.69,2372.88,2388.97,2379.46,2409.22
2407.62,2380.69,2372.88,2388.97,2379.46,2409.22,2422.68
2380.69,2372.88,2388.97,2379.46,2409.22,2422.68,2427.28
2372.88,2388.97,2379.46,2409.22,2422.68,2427.28,2458.11
2388.97,2379.46,2409.22,2422.68,2427.28,2458.11,2468.6
2379.46,2409.22,2422.68,2427.28,2458.11,2468.6,2473.55
2409.22,2422.68,2427.28,2458.11,2468.6,2473.55,2456.25
2422.68,2427.28,2458.11,2468.6,2473.55,2456.25,2445.42
2427.28,2458.11,2468.6,2473.55,2456.25,2445.42,2440.46
2458.11,2468.6,2473.55,2456.25,2445.42,2440.46,2445.1
2468.6,2473.55,2456.25,2445.42,2440.46,2445.1,2439.95
2473.55,2456.25,2445.42,2440.46,2445.1,2439.95,2480.5
2456.25,2445.42,2440.46,2445.1,2439.95,2480.5,2518.4
2445.42,2440.46,2445.1,2439.95,2480.5,2518.4,2597.04
2440.46,2445.1,2439.95,2480.5,2518.4,2597.04,2586.12
2445.1,2439.95,2480.5,2518.4,2597.04,2586.12,2563.64
2439.95,2480.5,2518.4,2597.04,2586.12,2563.64,2550.21
2480.5,2518.4,2597.04,2586.12,2563.64,2550.21,2510.18
2518.4,2597.04,2586.12,2563.64,2550.21,2510.18,2502.98
2597.04,2586.12,2563.64,2550.21,2510.18,2502.98,2438.88
2586.12,2563.64,2550.21,2510.18,2502.98,2438.88,2418.69
2563.64,2550.21,2510.18,2502.98,2438.88,2418.69,2397.99
2550.21,2510.18,2502.98,2438.88,2418.69,2397.99,2414.24
2510.18,2502.98,2438.88,2418.69,2397.99,2414.24,2442.15
2502.98,2438.88,2418.69,2397.99,2414.24,2442.15,2464.04
2438.88,2418.69,2397.99,2414.24,2442.15,2464.04,2441.7
2418.69,2397.99,2414.24,2442.15,2464.04,2441.7,2448.21
2397.99,2414.24,2442.15,2464.04,2441.7,2448.21,2476.36
2414.24,2442.15,2464.04,2441.7,2448.21,2476.36,2514.26
2442.15,2464.04,2441.7,2448.21,2476.36,2514.26,2511.97
2464.04,2441.7,2448.21,2476.36,2514.26,2511.97,2506.02
2441.7,2448.21,2476.36,2514.26,2511.97,2506.02,2555.88
