0,1,2,3,4,5,6
2390.49,2413.62,2382.53,2379.42,2325.83,2253.34,2277.33
2413.62,2382.53,2379.42,2325.83,2253.34,2277.33,2249.92
2382.53,2379.42,2325.83,2253.34,2277.33,2249.92,2147.57
2379.42,2325.83,2253.34,2277.33,2249.92,2147.57,2194.47
2325.83,2253.34,2277.33,2249.92,2147.57,2194.47,2142.18
2253.34,2277.33,2249.92,2147.57,2194.47,2142.18,2063.9
2277.33,2249.92,2147.57,2194.47,2142.18,2063.9,2095.47
2249.92,2147.57,2194.47,2142.18,2063.9,2095.47,2063.85
2147.57,2194.47,2142.18,2063.9,2095.47,2063.85,2152.15
2194.47,2142.18,2063.9,2095.47,2063.85,2152.15,2148.1
2142.18,2063.9,2095.47,2063.85,2152.15,2148.1,2157.96
2063.9,2095.47,2063.85,2152.15,2148.1,2157.96,2186.33
2095.47,2063.85,2152.15,2148.1,2157.96,2186.33,2100.13
2063.85,2152.15,2148.1,2157.96,2186.33,2100.13,2065.8
2152.15,2148.1,2157.96,2186.33,2100.13,2065.8,2035.4499999999998
2148.1,2157.96,2186.33,2100.13,2065.8,2035.4499999999998,2074.19
2157.96,2186.33,2100.13,2065.8,2035.4499999999998,2074.19,2110.64
2186.33,2100.13,2065.8,2035.4499999999998,2074.19,2110.64,2170.65
2100.13,2065.8,2035.4499999999998,2074.19,2110.64,2170.65,2255.8
2065.8,2035.4499999999998,2074.19,2110.64,2170.65,2255.8,2250.96
2035.4499999999998,2074.19,2110.64,2170.65,2255.8,2250.96,2212.1
2074.19,2110.64,2170.65,2255.8,2250.96,2212.1,2153.14
2110.64,2170.65,2255.8,2250.96,2212.1,2153.14,2154.73
2170.65,2255.8,2250.96,2212.1,2153.14,2154.73,2165.14
2255.8,2250.96,2212.1,2153.14,2154.73,2165.14,2032.84
2250.96,2212.1,2153.14,2154.73,2165.14,2032.84,2035.07
2212.1,2153.14,2154.73,2165.14,2032.84,2035.07,2064.63
2153.14,2154.73,2165.14,2032.84,2035.07,2064.63,2104.94
2154.73,2165.14,2032.84,2035.07,2064.63,2104.94,2184.23
2165.14,2032.84,2035.07,2064.63,2104.94,2184.23,2206.47
2032.84,2035.07,2064.63,2104.94,2184.23,2206.47,2192.7
2035.07,2064.63,2104.94,2184.23,2206.47,2192.7,2162.59
2064.63,2104.94,2184.23,2206.47,2192.7,2162.59,2216.08
2104.94,2184.23,2206.47,2192.7,2162.59,2216.08,2246.1
2184.23,2206.47,2192.7,2162.59,2216.08,2246.1,2246.13
2206.47,2192.7,2162.59,2216.08,2246.1,2246.13,2268.01
2192.7,2162.59,2216.08,2246.1,2246.13,2268.01,2268.8
2162.59,2216.08,2246.1,2246.13,2268.01,2268.8,2314.29
2216.08,2246.1,2246.13,2268.01,2268.8,2314.29,2305.6
2246.1,2246.13,2268.01,2268.8,2314.29,2305.6,2397.86
2246.13,2268.01,2268.8,2314.29,2305.6,2397.86,2432.57
2268.01,2268.8,2314.29,2305.6,2397.86,2432.57,2422.93
2268.8,2314.29,2305.6,2397.86,2432.57,2422.93,2359.79
2314.29,2305.6,2397.86,2432.57,2422.93,2359.79,2308.47
2305.6,2397.86,2432.57,2422.93,2359.79,2308.47,2344.0
