0,1,2,3,4,5,6
5095.94,5088.56,5047.38,5020.7,4958.76,4819.18,4881.07
5088.56,5047.38,5020.7,4958.76,4819.18,4881.07,4792.02
5047.38,5020.7,4958.76,4819.18,4881.07,4792.02,4774.95
5020.7,4958.76,4819.18,4881.07,4792.02,4774.95,4769.74
4958.76,4819.18,4881.07,4792.02,4774.95,4769.74,4716.75
4819.18,4881.07,4792.02,4774.95,4769.74,4716.75,4560.64
4881.07,4792.02,4774.95,4769.74,4716.75,4560.64,4555.34
4792.02,4774.95,4769.74,4716.75,4560.64,4555.34,4454.79
4774.95,4769.74,4716.75,4560.64,4555.34,4454.79,4611.27
4769.74,4716.75,4560.64,4555.34,4454.79,4611.27,4547.19
4716.75,4560.64,4555.34,4454.79,4611.27,4547.19,4493.67
4560.64,4555.34,4454.79,4611.27,4547.19,4493.67,4498.03
4555.34,4454.79,4611.27,4547.19,4493.67,4498.03,4376.84
4454.79,4611.27,4547.19,4493.67,4498.03,4376.84,4433.59
4611.27,4547.19,4493.67,4498.03,4376.84,4433.59,4401.25
4547.19,4493.67,4498.03,4376.84,4433.59,4401.25,4397.73
4493.67,4498.03,4376.84,4433.59,4401.25,4397.73,4425.31
4498.03,4376.84,4433.59,4401.25,4397.73,4425.31,4525.58
4376.84,4433.59,4401.25,4397.73,4425.31,4525.58,4641.32
4433.59,4401.25,4397.73,4425.31,4525.58,4641.32,4603.57
4401.25,4397.73,4425.31,4525.58,4641.32,4603.57,4575.29
4397.73,4425.31,4525.58,4641.32,4603.57,4575.29,4555.96
4425.31,4525.58,4641.32,4603.57,4575.29,4555.96,4653.25
4525.58,4641.32,4603.57,4575.29,4555.96,4653.25,4724.77
4641.32,4603.57,4575.29,4555.96,4653.25,4724.77,4572.85
4603.57,4575.29,4555.96,4653.25,4724.77,4572.85,4637.95
4575.29,4555.96,4653.25,4724.77,4572.85,4637.95,4618.58
4555.96,4653.25,4724.77,4572.85,4637.95,4618.58,4646.93
4653.25,4724.77,4572.85,4637.95,4618.58,4646.93,4772.44
4724.77,4572.85,4637.95,4618.58,4646.93,4772.44,4868.64
4572.85,4637.95,4618.58,4646.93,4772.44,4868.64,4861.36
4637.95,4618.58,4646.93,4772.44,4868.64,4861.36,4818.92
4618.58,4646.93,4772.44,4868.64,4861.36,4818.92,4783.27
4646.93,4772.44,4868.64,4861.36,4818.92,4783.27,4911.65
4772.44,4868.64,4861.36,4818.92,4783.27,4911.65,4862.79
4868.64,4861.36,4818.92,4783.27,4911.65,4862.79,4863.7
4861.36,4818.92,4783.27,4911.65,4862.79,4863.7,4886.7
4818.92,4783.27,4911.65,4862.79,4863.7,4886.7,4873.33
4783.27,4911.65,4862.79,4863.7,4886.7,4873.33,4818.57
4911.65,4862.79,4863.7,4886.7,4873.33,4818.57,4861.73
4862.79,4863.7,4886.7,4873.33,4818.57,4861.73,4956.2
4863.7,4886.7,4873.33,4818.57,4861.73,4956.2,4974.8
4886.7,4873.33,4818.57,4861.73,4956.2,4974.8,4905.67
4873.33,4818.57,4861.73,4956.2,4974.8,4905.67,4825.77
4818.57,4861.73,4956.2,4974.8,4905.67,4825.77,4838.98
4861.73,4956.2,4974.8,4905.67,4825.77,4838.98,4842.39
4956.2,4974.8,4905.67,4825.77,4838.98,4842.39,4841.42
4974.8,4905.67,4825.77,4838.98,4842.39,4841.42,4818.85
4905.67,4825.77,4838.98,4842.39,4841.42,4818.85,4813.77
4825.77,4838.98,4842.39,4841.42,4818.85,4813.77,4853.72
4838.98,4842.39,4841.42,4818.85,4813.77,4853.72,4794.52
4842.39,4841.42,4818.85,4813.77,4853.72,4794.52,4833.97
4841.42,4818.85,4813.77,4853.72,4794.52,4833.97,4852.4
4818.85,4813.77,4853.72,4794.52,4833.97,4852.4,4920.45
4813.77,4853.72,4794.52,4833.97,4852.4,4920.45,4959.23
4853.72,4794.52,4833.97,4852.4,4920.45,4959.23,4998.81
4794.52,4833.97,4852.4,4920.45,4959.23,4998.81,5101.11
4833.97,4852.4,4920.45,4959.23,4998.81,5101.11,5131.88
4852.4,4920.45,4959.23,4998.81,5101.11,5131.88,5068.39
4920.45,4959.23,4998.81,5101.11,5131.88,5068.39,5084.56
4959.23,4998.81,5101.11,5131.88,5068.39,5084.56,5106.54
4998.81,5101.11,5131.88,5068.39,5084.56,5106.54,5150.97
5101.11,5131.88,5068.39,5084.56,5106.54,5150.97,5159.67
5131.88,5068.39,5084.56,5106.54,5150.97,5159.67,5055.75
5068.39,5084.56,5106.54,5150.97,5159.67,5055.75,5135.35
5084.56,5106.54,5150.97,5159.67,5055.75,5135.35,5083.89
5106.54,5150.97,5159.67,5055.75,5135.35,5083.89,5069.14
5150.97,5159.67,5055.75,5135.35,5083.89,5069.14,5021.2
5159.67,5055.75,5135.35,5083.89,5069.14,5021.2,4953.15
5055.75,5135.35,5083.89,5069.14,5021.2,4953.15,4882.33
5135.35,5083.89,5069.14,5021.2,4953.15,4882.33,4808.29
5083.89,5069.14,5021.2,4953.15,4882.33,4808.29,4824.24
5069.14,5021.2,4953.15,4882.33,4808.29,4824.24,4831.85
5021.2,4953.15,4882.33,4808.29,4824.24,4831.85,4781.17
4953.15,4882.33,4808.29,4824.24,4831.85,4781.17,4797.75
4882.33,4808.29,4824.24,4831.85,4781.17,4797.75,4821.69
4808.29,4824.24,4831.85,4781.17,4797.75,4821.69,4820.08
4824.24,4831.85,4781.17,4797.75,4821.69,4820.08,4855.6
4831.85,4781.17,4797.75,4821.69,4820.08,4855.6,4873.84
4781.17,4797.75,4821.69,4820.08,4855.6,4873.84,4885.48
4797.75,4821.69,4820.08,4855.6,4873.84,4885.48,4898.37
4821.69,4820.08,4855.6,4873.84,4885.48,4898.37,4897.2
4820.08,4855.6,4873.84,4885.48,4898.37,4897.2,4930.92
4855.6,4873.84,4885.48,4898.37,4897.2,4930.92,4925.61
4873.84,4885.48,4898.37,4897.2,4930.92,4925.61,4942.24
4885.48,4898.37,4897.2,4930.92,4925.61,4942.24,4960.32
4898.37,4897.2,4930.92,4925.61,4942.24,4960.32,4936.0
4897.2,4930.92,4925.61,4942.24,4960.32,4936.0,5023.45
4930.92,4925.61,4942.24,4960.32,4936.0,5023.45,5053.92
4925.61,4942.24,4960.32,4936.0,5023.45,5053.92,5024.3
4942.24,4960.32,4936.0,5023.45,5053.92,5024.3,5045.9
4960.32,4936.0,5023.45,5053.92,5024.3,5045.9,5011.82
4936.0,5023.45,5053.92,5024.3,5045.9,5011.82,5008.95
5023.45,5053.92,5024.3,5045.9,5011.82,5008.95,5020.89
5053.92,5024.3,5045.9,5011.82,5008.95,5020.89,5063.57
5024.3,5045.9,5011.82,5008.95,5020.89,5063.57,5060.14
5045.9,5011.82,5008.95,5020.89,5063.57,5060.14,5017.81
5011.82,5008.95,5020.89,5063.57,5060.14,5017.81,5024.41
5008.95,5020.89,5063.57,5060.14,5017.81,5024.41,5004.73
5020.89,5063.57,5060.14,5017.81,5024.41,5004.73,5030.95
5063.57,5060.14,5017.81,5024.41,5004.73,5030.95,5000.27
5060.14,5017.81,5024.41,5004.73,5030.95,5000.27,5119.5
5017.81,5024.41,5004.73,5030.95,5000.27,5119.5,5012.75
5024.41,5004.73,5030.95,5000.27,5119.5,5012.75,5189.55
5004.73,5030.95,5000.27,5119.5,5012.75,5189.55,5251.52
5030.95,5000.27,5119.5,5012.75,5189.55,5251.52,5200.7
5000.27,5119.5,5012.75,5189.55,5251.52,5200.7,5263.94
5119.5,5012.75,5189.55,5251.52,5200.7,5263.94,5337.74
5012.75,5189.55,5251.52,5200.7,5263.94,5337.74,5179.88
5189.55,5251.52,5200.7,5263.94,5337.74,5179.88,5194.67
5251.52,5200.7,5263.94,5337.74,5179.88,5194.67,5275.59
5200.7,5263.94,5337.74,5179.88,5194.67,5275.59,5267.1
5263.94,5337.74,5179.88,5194.67,5275.59,5267.1,5206.45
5337.74,5179.88,5194.67,5275.59,5267.1,5206.45,5252.95
5179.88,5194.67,5275.59,5267.1,5206.45,5252.95,5163.24
5194.67,5275.59,5267.1,5206.45,5252.95,5163.24,5126.24
5275.59,5267.1,5206.45,5252.95,5163.24,5126.24,5205.36
5267.1,5206.45,5252.95,5163.24,5126.24,5205.36,5178.88
5206.45,5252.95,5163.24,5126.24,5205.36,5178.88,5000.68
5252.95,5163.24,5126.24,5205.36,5178.88,5000.68,4912.29
