0,1,2,3,4,5,6
2303.54,2326.99,2287.04,2282.56,2221.14,2149.87,2147.5
2326.99,2287.04,2282.56,2221.14,2149.87,2147.5,2137.39
2287.04,2282.56,2221.14,2149.87,2147.5,2137.39,2044.8899999999999
2282.56,2221.14,2149.87,2147.5,2137.39,2044.8899999999999,2099.88
2221.14,2149.87,2147.5,2137.39,2044.8899999999999,2099.88,2061.01
2149.87,2147.5,2137.39,2044.8899999999999,2099.88,2061.01,1992.1
2147.5,2137.39,2044.8899999999999,2099.88,2061.01,1992.1,2007.37
2137.39,2044.8899999999999,2099.88,2061.01,1992.1,2007.37,1974.76
2044.8899999999999,2099.88,2061.01,1992.1,2007.37,1974.76,2062.19
2099.88,2061.01,1992.1,2007.37,1974.76,2062.19,2066.2
2061.01,1992.1,2007.37,1974.76,2062.19,2066.2,2075.09
1992.1,2007.37,1974.76,2062.19,2066.2,2075.09,2107.28
2007.37,1974.76,2062.19,2066.2,2075.09,2107.28,2031.6700000000003
1974.76,2062.19,2066.2,2075.09,2107.28,2031.6700000000003,2019.92
2062.19,2066.2,2075.09,2107.28,2031.6700000000003,2019.92,1987.48
2066.2,2075.09,2107.28,2031.6700000000003,2019.92,1987.48,2024.21
2075.09,2107.28,2031.6700000000003,2019.92,1987.48,2024.21,2040.6399999999999
2107.28,2031.6700000000003,2019.92,1987.48,2024.21,2040.6399999999999,2106.25
2031.6700000000003,2019.92,1987.48,2024.21,2040.6399999999999,2106.25,2189.53
2019.92,1987.48,2024.21,2040.6399999999999,2106.25,2189.53,2219.39
1987.48,2024.21,2040.6399999999999,2106.25,2189.53,2219.39,2176.25
2024.21,2040.6399999999999,2106.25,2189.53,2219.39,2176.25,2134.76
2040.6399999999999,2106.25,2189.53,2219.39,2176.25,2134.76,2109.74
2106.25,2189.53,2219.39,2176.25,2134.76,2109.74,2140.27
2189.53,2219.39,2176.25,2134.76,2109.74,2140.27,2026.8100000000002
2219.39,2176.25,2134.76,2109.74,2140.27,2026.8100000000002,2047.42
2176.25,2134.76,2109.74,2140.27,2026.8100000000002,2047.42,2065.13
2134.76,2109.74,2140.27,2026.8100000000002,2047.42,2065.13,2086.29
2109.74,2140.27,2026.8100000000002,2047.42,2065.13,2086.29,2180.69
2140.27,2026.8100000000002,2047.42,2065.13,2086.29,2180.69,2184.01
2026.8100000000002,2047.42,2065.13,2086.29,2180.69,2184.01,2155.85
2047.42,2065.13,2086.29,2180.69,2184.01,2155.85,2125.59
2065.13,2086.29,2180.69,2184.01,2155.85,2125.59,2169.71
2086.29,2180.69,2184.01,2155.85,2125.59,2169.71,2183.63
2180.69,2184.01,2155.85,2125.59,2169.71,2183.63,2187.86
2184.01,2155.85,2125.59,2169.71,2183.63,2187.86,2201.62
2155.85,2125.59,2169.71,2183.63,2187.86,2201.62,2198.41
2125.59,2169.71,2183.63,2187.86,2201.62,2198.41,2218.55
2169.71,2183.63,2187.86,2201.62,2198.41,2218.55,2202.46
2183.63,2187.86,2201.62,2198.41,2218.55,2202.46,2254.6
2187.86,2201.62,2198.41,2218.55,2202.46,2254.6,2273.34
2201.62,2198.41,2218.55,2202.46,2254.6,2273.34,2280.03
2198.41,2218.55,2202.46,2254.6,2273.34,2280.03,2257.51
2218.55,2202.46,2254.6,2273.34,2280.03,2257.51,2249.01
2202.46,2254.6,2273.34,2280.03,2257.51,2249.01,2255.27
2254.6,2273.34,2280.03,2257.51,2249.01,2255.27,2248.23
2273.34,2280.03,2257.51,2249.01,2255.27,2248.23,2252.4
2280.03,2257.51,2249.01,2255.27,2248.23,2252.4,2235.87
2257.51,2249.01,2255.27,2248.23,2252.4,2235.87,2256.15
2249.01,2255.27,2248.23,2252.4,2235.87,2256.15,2262.74
2255.27,2248.23,2252.4,2235.87,2256.15,2262.74,2260.18
2248.23,2252.4,2235.87,2256.15,2262.74,2260.18,2285.17
2252.4,2235.87,2256.15,2262.74,2260.18,2285.17,2315.12
2235.87,2256.15,2262.74,2260.18,2285.17,2315.12,2372.18
2256.15,2262.74,2260.18,2285.17,2315.12,2372.18,2413.36
2262.74,2260.18,2285.17,2315.12,2372.18,2413.36,2429.01
2260.18,2285.17,2315.12,2372.18,2413.36,2429.01,2468.37
2285.17,2315.12,2372.18,2413.36,2429.01,2468.37,2501.36
2315.12,2372.18,2413.36,2429.01,2468.37,2501.36,2494.17
2372.18,2413.36,2429.01,2468.37,2501.36,2494.17,2463.83
2413.36,2429.01,2468.37,2501.36,2494.17,2463.83,2441.46
2429.01,2468.37,2501.36,2494.17,2463.83,2441.46,2467.95
2468.37,2501.36,2494.17,2463.83,2441.46,2467.95,2482.64
2501.36,2494.17,2463.83,2441.46,2467.95,2482.64,2436.4
2494.17,2463.83,2441.46,2467.95,2482.64,2436.4,2479.08
2463.83,2441.46,2467.95,2482.64,2436.4,2479.08,2497.07
2441.46,2467.95,2482.64,2436.4,2479.08,2497.07,2499.48
2467.95,2482.64,2436.4,2479.08,2497.07,2499.48,2531.33
2482.64,2436.4,2479.08,2497.07,2499.48,2531.33,2475.72
2436.4,2479.08,2497.07,2499.48,2531.33,2475.72,2447.79
2479.08,2497.07,2499.48,2531.33,2475.72,2447.79,2414.0
2497.07,2499.48,2531.33,2475.72,2447.79,2414.0,2418.41
2499.48,2531.33,2475.72,2447.79,2414.0,2418.41,2430.63
2531.33,2475.72,2447.79,2414.0,2418.41,2430.63,2412.31
2475.72,2447.79,2414.0,2418.41,2430.63,2412.31,2425.86
2447.79,2414.0,2418.41,2430.63,2412.31,2425.86,2451.19
2414.0,2418.41,2430.63,2412.31,2425.86,2451.19,2449.43
2418.41,2430.63,2412.31,2425.86,2451.19,2449.43,2502.86
2430.63,2412.31,2425.86,2451.19,2449.43,2502.86,2522.52
2412.31,2425.86,2451.19,2449.43,2502.86,2522.52,2546.15
2425.86,2451.19,2449.43,2502.86,2522.52,2546.15,2534.49
2451.19,2449.43,2502.86,2522.52,2546.15,2534.49,2543.86
2449.43,2502.86,2522.52,2546.15,2534.49,2543.86,2522.05
2502.86,2522.52,2546.15,2534.49,2543.86,2522.05,2525.54
2522.52,2546.15,2534.49,2543.86,2522.05,2525.54,2539.29
2546.15,2534.49,2543.86,2522.05,2525.54,2539.29,2617.04
2534.49,2543.86,2522.05,2525.54,2539.29,2617.04,2614.06
2543.86,2522.05,2525.54,2539.29,2617.04,2614.06,2653.69
2522.05,2525.54,2539.29,2617.04,2614.06,2653.69,2658.06
2525.54,2539.29,2617.04,2614.06,2653.69,2658.06,2654.61
2539.29,2617.04,2614.06,2653.69,2658.06,2654.61,2657.15
2617.04,2614.06,2653.69,2658.06,2654.61,2657.15,2672.51
2614.06,2653.69,2658.06,2654.61,2657.15,2672.51,2639.91
2653.69,2658.06,2654.61,2657.15,2672.51,2639.91,2636.23
2658.06,2654.61,2657.15,2672.51,2639.91,2636.23,2683.3
2654.61,2657.15,2672.51,2639.91,2636.23,2683.3,2711.64
2657.15,2672.51,2639.91,2636.23,2683.3,2711.64,2728.85
2672.51,2639.91,2636.23,2683.3,2711.64,2728.85,2713.3
2639.91,2636.23,2683.3,2711.64,2728.85,2713.3,2735.99
2636.23,2683.3,2711.64,2728.85,2713.3,2735.99,2763.5
2683.3,2711.64,2728.85,2713.3,2735.99,2763.5,2748.65
2711.64,2728.85,2713.3,2735.99,2763.5,2748.65,2751.96
2728.85,2713.3,2735.99,2763.5,2748.65,2751.96,2746.15
2713.3,2735.99,2763.5,2748.65,2751.96,2746.15,2729.79
2735.99,2763.5,2748.65,2751.96,2746.15,2729.79,2709.72
2763.5,2748.65,2751.96,2746.15,2729.79,2709.72,2638.58
2748.65,2751.96,2746.15,2729.79,2709.72,2638.58,2666.38
2751.96,2746.15,2729.79,2709.72,2638.58,2666.38,2702.46
2746.15,2729.79,2709.72,2638.58,2666.38,2702.46,2611.62
2729.79,2709.72,2638.58,2666.38,2702.46,2611.62,2662.35
2709.72,2638.58,2666.38,2702.46,2611.62,2662.35,2673.33
2638.58,2666.38,2702.46,2611.62,2662.35,2673.33,2635.06
2666.38,2702.46,2611.62,2662.35,2673.33,2635.06,2631.69
2702.46,2611.62,2662.35,2673.33,2635.06,2631.69,2684.27
2611.62,2662.35,2673.33,2635.06,2631.69,2684.27,2643.54
2662.35,2673.33,2635.06,2631.69,2684.27,2643.54,2576.66
2673.33,2635.06,2631.69,2684.27,2643.54,2576.66,2590.15
2635.06,2631.69,2684.27,2643.54,2576.66,2590.15,2596.72
2631.69,2684.27,2643.54,2576.66,2590.15,2596.72,2461.84
2684.27,2643.54,2576.66,2590.15,2596.72,2461.84,2430.8
2643.54,2576.66,2590.15,2596.72,2461.84,2430.8,2545.25
2576.66,2590.15,2596.72,2461.84,2430.8,2545.25,2451.6
2590.15,2596.72,2461.84,2430.8,2545.25,2451.6,2470.91
2596.72,2461.84,2430.8,2545.25,2451.6,2470.91,2425.64
2461.84,2430.8,2545.25,2451.6,2470.91,2425.64,2444.63
2430.8,2545.25,2451.6,2470.91,2425.64,2444.63,2532.83
2545.25,2451.6,2470.91,2425.64,2444.63,2532.83,2565.68
2451.6,2470.91,2425.64,2444.63,2532.83,2565.68,2577.29
2470.91,2425.64,2444.63,2532.83,2565.68,2577.29,2610.64
2425.64,2444.63,2532.83,2565.68,2577.29,2610.64,2647.01
2444.63,2532.83,2565.68,2577.29,2610.64,2647.01,2683.24
2532.83,2565.68,2577.29,2610.64,2647.01,2683.24,2701.67
2565.68,2577.29,2610.64,2647.01,2683.24,2701.67,2696.5
2577.29,2610.64,2647.01,2683.24,2701.67,2696.5,2719.32
2610.64,2647.01,2683.24,2701.67,2696.5,2719.32,2711.54
2647.01,2683.24,2701.67,2696.5,2719.32,2711.54,2719.93
2683.24,2701.67,2696.5,2719.32,2711.54,2719.93,2699.43
2701.67,2696.5,2719.32,2711.54,2719.93,2699.43,2695.01
2696.5,2719.32,2711.54,2719.93,2699.43,2695.01,2737.5
2719.32,2711.54,2719.93,2699.43,2695.01,2737.5,2754.18
2711.54,2719.93,2699.43,2695.01,2737.5,2754.18,2761.01
2719.93,2699.43,2695.01,2737.5,2754.18,2761.01,2817.72
2699.43,2695.01,2737.5,2754.18,2761.01,2817.72,2941.63
2695.01,2737.5,2754.18,2761.01,2817.72,2941.63,2976.17
2737.5,2754.18,2761.01,2817.72,2941.63,2976.17,2983.35
2754.18,2761.01,2817.72,2941.63,2976.17,2983.35,3056.19
2761.01,2817.72,2941.63,2976.17,2983.35,3056.19,3081.18
2817.72,2941.63,2976.17,2983.35,3056.19,3081.18,3124.15
2941.63,2976.17,2983.35,3056.19,3081.18,3124.15,3157.67
2976.17,2983.35,3056.19,3081.18,3124.15,3157.67,3219.01
2983.35,3056.19,3081.18,3124.15,3157.67,3219.01,3213.66
3056.19,3081.18,3124.15,3157.67,3219.01,3213.66,3276.42
3081.18,3124.15,3157.67,3219.01,3213.66,3276.42,3254.84
3124.15,3157.67,3219.01,3213.66,3276.42,3254.84,3180.32
3157.67,3219.01,3213.66,3276.42,3254.84,3180.32,3109.46
3219.01,3213.66,3276.42,3254.84,3180.32,3109.46,3198.47
3213.66,3276.42,3254.84,3180.32,3109.46,3198.47,3243.02
3276.42,3254.84,3180.32,3109.46,3198.47,3243.02,3290.08
3254.84,3180.32,3109.46,3198.47,3243.02,3290.08,3220.41
3180.32,3109.46,3198.47,3243.02,3290.08,3220.41,3370.62
3109.46,3198.47,3243.02,3290.08,3220.41,3370.62,3477.9799999999996
3198.47,3243.02,3290.08,3220.41,3370.62,3477.9799999999996,3353.3
3243.02,3290.08,3220.41,3370.62,3477.9799999999996,3353.3,3210.04
3290.08,3220.41,3370.62,3477.9799999999996,3353.3,3210.04,3097.3
3220.41,3370.62,3477.9799999999996,3353.3,3210.04,3097.3,3133.19
3370.62,3477.9799999999996,3353.3,3210.04,3097.3,3133.19,3369.17
3477.9799999999996,3353.3,3210.04,3097.3,3133.19,3369.17,3391.86
3353.3,3210.04,3097.3,3133.19,3369.17,3391.86,3461.7500000000005
3210.04,3097.3,3133.19,3369.17,3391.86,3461.7500000000005,3576.02
3097.3,3133.19,3369.17,3391.86,3461.7500000000005,3576.02,3693.8700000000003
3133.19,3369.17,3391.86,3461.7500000000005,3576.02,3693.8700000000003,3642.6900000000005
3369.17,3391.86,3461.7500000000005,3576.02,3693.8700000000003,3642.6900000000005,3665.26
3391.86,3461.7500000000005,3576.02,3693.8700000000003,3642.6900000000005,3665.26,3718.1300000000006
3461.7500000000005,3576.02,3693.8700000000003,3642.6900000000005,3665.26,3718.1300000000006,3813.9999999999995
3576.02,3693.8700000000003,3642.6900000000005,3665.26,3718.1300000000006,3813.9999999999995,3752.0
3693.8700000000003,3642.6900000000005,3665.26,3718.1300000000006,3813.9999999999995,3752.0,3681.5
3642.6900000000005,3665.26,3718.1300000000006,3813.9999999999995,3752.0,3681.5,3580.35
3665.26,3718.1300000000006,3813.9999999999995,3752.0,3681.5,3580.35,3534.0900000000006
3718.1300000000006,3813.9999999999995,3752.0,3681.5,3580.35,3534.0900000000006,3493.55
3813.9999999999995,3752.0,3681.5,3580.35,3534.0900000000006,3493.55,3430.22
3752.0,3681.5,3580.35,3534.0900000000006,3493.55,3430.22,3575.4500000000003
3681.5,3580.35,3534.0900000000006,3493.55,3430.22,3575.4500000000003,3815.82
3580.35,3534.0900000000006,3493.55,3430.22,3575.4500000000003,3815.82,3789.7900000000004
3534.0900000000006,3493.55,3430.22,3575.4500000000003,3815.82,3789.7900000000004,3806.1600000000003
3493.55,3430.22,3575.4500000000003,3815.82,3789.7900000000004,3806.1600000000003,3806.0200000000004
3430.22,3575.4500000000003,3815.82,3789.7900000000004,3806.1600000000003,3806.0200000000004,3775.6299999999997
3575.4500000000003,3815.82,3789.7900000000004,3806.1600000000003,3806.0200000000004,3775.6299999999997,3618.5399999999995
3815.82,3789.7900000000004,3806.1600000000003,3806.0200000000004,3775.6299999999997,3618.5399999999995,3657.0399999999995
3789.7900000000004,3806.1600000000003,3806.0200000000004,3775.6299999999997,3618.5399999999995,3657.0399999999995,3645.4400000000005
3806.1600000000003,3806.0200000000004,3775.6299999999997,3618.5399999999995,3657.0399999999995,3645.4400000000005,3733.36
3806.0200000000004,3775.6299999999997,3618.5399999999995,3657.0399999999995,3645.4400000000005,3733.36,3685.04
3775.6299999999997,3618.5399999999995,3657.0399999999995,3645.4400000000005,3733.36,3685.04,3630.29
3618.5399999999995,3657.0399999999995,3645.4400000000005,3733.36,3685.04,3630.29,3715.9200000000005
3657.0399999999995,3645.4400000000005,3733.36,3685.04,3630.29,3715.9200000000005,3839.6899999999996
3645.4400000000005,3733.36,3685.04,3630.29,3715.9200000000005,3839.6899999999996,3844.35
3733.36,3685.04,3630.29,3715.9200000000005,3839.6899999999996,3844.35,3845.3
3685.04,3630.29,3715.9200000000005,3839.6899999999996,3844.35,3845.3,3912.17
3630.29,3715.9200000000005,3839.6899999999996,3844.35,3845.3,3912.17,3921.9399999999996
3715.9200000000005,3839.6899999999996,3844.35,3845.3,3912.17,3921.9399999999996,4000.5900000000006
3839.6899999999996,3844.35,3845.3,3912.17,3921.9399999999996,4000.5900000000006,4025.11
3844.35,3845.3,3912.17,3921.9399999999996,4000.5900000000006,4025.11,4130.08
3845.3,3912.17,3921.9399999999996,4000.5900000000006,4025.11,4130.08,4104.03
3912.17,3921.9399999999996,4000.5900000000006,4025.11,4130.08,4104.03,4055.7600000000007
3921.9399999999996,4000.5900000000006,4025.11,4130.08,4104.03,4055.7600000000007,3995.02
4000.5900000000006,4025.11,4130.08,4104.03,4055.7600000000007,3995.02,3850.3100000000004
4025.11,4130.08,4104.03,4055.7600000000007,3995.02,3850.3100000000004,3792.09
4130.08,4104.03,4055.7600000000007,3995.02,3850.3100000000004,3792.09,3785.35
4104.03,4055.7600000000007,3995.02,3850.3100000000004,3792.09,3785.35,3788.0800000000004
4055.7600000000007,3995.02,3850.3100000000004,3792.09,3785.35,3788.0800000000004,3897.57
3995.02,3850.3100000000004,3792.09,3785.35,3788.0800000000004,3897.57,3970.91
3850.3100000000004,3792.09,3785.35,3788.0800000000004,3897.57,3970.91,4000.6899999999996
3792.09,3785.35,3788.0800000000004,3897.57,3970.91,4000.6899999999996,4024.6600000000003
3785.35,3788.0800000000004,3897.57,3970.91,4000.6899999999996,4024.6600000000003,4043.83
3788.0800000000004,3897.57,3970.91,4000.6899999999996,4024.6600000000003,4043.83,4062.0200000000004
3897.57,3970.91,4000.6899999999996,4024.6600000000003,4043.83,4062.0200000000004,4219.27
3970.91,4000.6899999999996,4024.6600000000003,4043.83,4062.0200000000004,4219.27,4134.88
4000.6899999999996,4024.6600000000003,4043.83,4062.0200000000004,4219.27,4134.88,4228.02
4024.6600000000003,4043.83,4062.0200000000004,4219.27,4134.88,4228.02,4303.27
4043.83,4062.0200000000004,4219.27,4134.88,4228.02,4303.27,4256.14
4062.0200000000004,4219.27,4134.88,4228.02,4303.27,4256.14,4250.01
4219.27,4134.88,4228.02,4303.27,4256.14,4250.01,4225.41
4134.88,4228.02,4303.27,4256.14,4250.01,4225.41,4364.57
4228.02,4303.27,4256.14,4250.01,4225.41,4364.57,4457.3
4303.27,4256.14,4250.01,4225.41,4364.57,4457.3,4360.42
4256.14,4250.01,4225.41,4364.57,4457.3,4360.42,4256.36
4250.01,4225.41,4364.57,4457.3,4360.42,4256.36,4212.18
4225.41,4364.57,4457.3,4360.42,4256.36,4212.18,3974.59
4364.57,4457.3,4360.42,4256.36,4212.18,3974.59,3670.37
4457.3,4360.42,4256.36,4212.18,3974.59,3670.37,3525.2699999999995
4360.42,4256.36,4212.18,3974.59,3670.37,3525.2699999999995,3735.59
4256.36,4212.18,3974.59,3670.37,3525.2699999999995,3735.59,3657.29
4212.18,3974.59,3670.37,3525.2699999999995,3735.59,3657.29,3935.8
3974.59,3670.37,3525.2699999999995,3735.59,3657.29,3935.8,3969.09
3670.37,3525.2699999999995,3735.59,3657.29,3935.8,3969.09,3886.62
3525.2699999999995,3735.59,3657.29,3935.8,3969.09,3886.62,3791.96
3735.59,3657.29,3935.8,3969.09,3886.62,3791.96,3783.81
3657.29,3935.8,3969.09,3886.62,3791.96,3783.81,3770.7900000000004
3935.8,3969.09,3886.62,3791.96,3783.81,3770.7900000000004,3797.58
3969.09,3886.62,3791.96,3783.81,3770.7900000000004,3797.58,3734.7
3886.62,3791.96,3783.81,3770.7900000000004,3797.58,3734.7,3674.95
3791.96,3783.81,3770.7900000000004,3797.58,3734.7,3674.95,3571.7699999999995
3783.81,3770.7900000000004,3797.58,3734.7,3674.95,3571.7699999999995,3445.07
3770.7900000000004,3797.58,3734.7,3674.95,3571.7699999999995,3445.07,3299.64
3797.58,3734.7,3674.95,3571.7699999999995,3445.07,3299.64,3362.6
3734.7,3674.95,3571.7699999999995,3445.07,3299.64,3362.6,3431.3
3674.95,3571.7699999999995,3445.07,3299.64,3362.6,3431.3,3577.2699999999995
3571.7699999999995,3445.07,3299.64,3362.6,3431.3,3577.2699999999995,3667.2900000000004
3445.07,3299.64,3362.6,3431.3,3577.2699999999995,3667.2900000000004,3702.2
3299.64,3362.6,3431.3,3577.2699999999995,3667.2900000000004,3702.2,3703.5699999999997
3362.6,3431.3,3577.2699999999995,3667.2900000000004,3702.2,3703.5699999999997,3583.76
3431.3,3577.2699999999995,3667.2900000000004,3702.2,3703.5699999999997,3583.76,3569.7899999999995
3577.2699999999995,3667.2900000000004,3702.2,3703.5699999999997,3583.76,3569.7899999999995,3460.09
3667.2900000000004,3702.2,3703.5699999999997,3583.76,3569.7899999999995,3460.09,3411.53
3702.2,3703.5699999999997,3583.76,3569.7899999999995,3460.09,3411.53,3455.48
3703.5699999999997,3583.76,3569.7899999999995,3460.09,3411.53,3455.48,3480.41
3583.76,3569.7899999999995,3460.09,3411.53,3455.48,3480.41,3484.36
3569.7899999999995,3460.09,3411.53,3455.48,3480.41,3484.36,3460.09
3460.09,3411.53,3455.48,3480.41,3484.36,3460.09,3240.69
3411.53,3455.48,3480.41,3484.36,3460.09,3240.69,3106.18
3455.48,3480.41,3484.36,3460.09,3240.69,3106.18,3067.02
3480.41,3484.36,3460.09,3240.69,3106.18,3067.02,2885.38
3484.36,3460.09,3240.69,3106.18,3067.02,2885.38,2852.46
3460.09,3240.69,3106.18,3067.02,2885.38,2852.46,2924.89
3240.69,3106.18,3067.02,2885.38,2852.46,2924.89,2996.0
3106.18,3067.02,2885.38,2852.46,2924.89,2996.0,2811.65
3067.02,2885.38,2852.46,2924.89,2996.0,2811.65,2914.75
2885.38,2852.46,2924.89,2996.0,2811.65,2914.75,2635.3
2852.46,2924.89,2996.0,2811.65,2914.75,2635.3,2590.3
2924.89,2996.0,2811.65,2914.75,2635.3,2590.3,2584.75
2996.0,2811.65,2914.75,2635.3,2590.3,2584.75,2633.04
2811.65,2914.75,2635.3,2590.3,2584.75,2633.04,2867.41
2914.75,2635.3,2590.3,2584.75,2633.04,2867.41,2940.57
2635.3,2590.3,2584.75,2633.04,2867.41,2940.57,2897.12
