0,1,2,3,4,5,6
1769.2599999999998,1773.69,1745.3,1735.39,1681.66,1646.61,1686.08
1773.69,1745.3,1735.39,1681.66,1646.61,1686.08,1670.08
1745.3,1735.39,1681.66,1646.61,1686.08,1670.08,1615.64
1735.39,1681.66,1646.61,1686.08,1670.08,1615.64,1643.36
1681.66,1646.61,1686.08,1670.08,1615.64,1643.36,1582.54
1646.61,1686.08,1670.08,1615.64,1643.36,1582.54,1506.25
1686.08,1670.08,1615.64,1643.36,1582.54,1506.25,1523.38
1670.08,1615.64,1643.36,1582.54,1506.25,1523.38,1486.08
1615.64,1643.36,1582.54,1506.25,1523.38,1486.08,1546.87
1643.36,1582.54,1506.25,1523.38,1486.08,1546.87,1528.44
1582.54,1506.25,1523.38,1486.08,1546.87,1528.44,1525.21
1506.25,1523.38,1486.08,1546.87,1528.44,1525.21,1540.56
1523.38,1486.08,1546.87,1528.44,1525.21,1540.56,1490.4
1486.08,1546.87,1528.44,1525.21,1540.56,1490.4,1463.65
1546.87,1528.44,1525.21,1540.56,1490.4,1463.65,1452.34
1528.44,1525.21,1540.56,1490.4,1463.65,1452.34,1472.23
1525.21,1540.56,1490.4,1463.65,1452.34,1472.23,1524.44
1540.56,1490.4,1463.65,1452.34,1472.23,1524.44,1577.54
1490.4,1463.65,1452.34,1472.23,1524.44,1577.54,1661.82
1463.65,1452.34,1472.23,1524.44,1577.54,1661.82,1649.55
1452.34,1472.23,1524.44,1577.54,1661.82,1649.55,1629.84
1472.23,1524.44,1577.54,1661.82,1649.55,1629.84,1588.75
1524.44,1577.54,1661.82,1649.55,1629.84,1588.75,1596.21
1577.54,1661.82,1649.55,1629.84,1588.75,1596.21,1607.76
1661.82,1649.55,1629.84,1588.75,1596.21,1607.76,1488.95
1649.55,1629.84,1588.75,1596.21,1607.76,1488.95,1498.51
1629.84,1588.75,1596.21,1607.76,1488.95,1498.51,1502.08
1588.75,1596.21,1607.76,1488.95,1498.51,1502.08,1539.96
1596.21,1607.76,1488.95,1498.51,1502.08,1539.96,1593.7
