0,1,2,3,4,5,6
818.72,829.37,836.68,824.14,806.99,775.92,756.54
829.37,836.68,824.14,806.99,775.92,756.54,786.67
836.68,824.14,806.99,775.92,756.54,786.67,747.13
824.14,806.99,775.92,756.54,786.67,747.13,736.64
806.99,775.92,756.54,786.67,747.13,736.64,718.86
775.92,756.54,786.67,747.13,736.64,718.86,682.43
756.54,786.67,747.13,736.64,718.86,682.43,697.34
786.67,747.13,736.64,718.86,682.43,697.34,686.35
747.13,736.64,718.86,682.43,697.34,686.35,699.7
736.64,718.86,682.43,697.34,686.35,699.7,695.67
718.86,682.43,697.34,686.35,699.7,695.67,721.9
682.43,697.34,686.35,699.7,695.67,721.9,767.81
697.34,686.35,699.7,695.67,721.9,767.81,783.89
686.35,699.7,695.67,721.9,767.81,783.89,809.28
699.7,695.67,721.9,767.81,783.89,809.28,812.75
695.67,721.9,767.81,783.89,809.28,812.75,793.31
721.9,767.81,783.89,809.28,812.75,793.31,798.67
767.81,783.89,809.28,812.75,793.31,798.67,798.36
783.89,809.28,812.75,793.31,798.67,798.36,798.13
809.28,812.75,793.31,798.67,798.36,798.13,773.68
812.75,793.31,798.67,798.36,798.13,773.68,746.83
793.31,798.67,798.36,798.13,773.68,746.83,750.82
798.67,798.36,798.13,773.68,746.83,750.82,760.77
798.36,798.13,773.68,746.83,750.82,760.77,755.17
798.13,773.68,746.83,750.82,760.77,755.17,717.62
773.68,746.83,750.82,760.77,755.17,717.62,693.98
746.83,750.82,760.77,755.17,717.62,693.98,684.05
750.82,760.77,755.17,717.62,693.98,684.05,687.89
760.77,755.17,717.62,693.98,684.05,687.89,718.71
755.17,717.62,693.98,684.05,687.89,718.71,723.61
717.62,693.98,684.05,687.89,718.71,723.61,704.85
693.98,684.05,687.89,718.71,723.61,704.85,696.78
684.05,687.89,718.71,723.61,704.85,696.78,720.65
687.89,718.71,723.61,704.85,696.78,720.65,723.99
718.71,723.61,704.85,696.78,720.65,723.99,710.38
723.61,704.85,696.78,720.65,723.99,710.38,714.66
704.85,696.78,720.65,723.99,710.38,714.66,734.3
696.78,720.65,723.99,710.38,714.66,734.3,776.24
720.65,723.99,710.38,714.66,734.3,776.24,784.3
723.99,710.38,714.66,734.3,776.24,784.3,842.17
710.38,714.66,734.3,776.24,784.3,842.17,881.96
714.66,734.3,776.24,784.3,842.17,881.96,872.86
734.3,776.24,784.3,842.17,881.96,872.86,840.93
776.24,784.3,842.17,881.96,872.86,840.93,836.66
784.3,842.17,881.96,872.86,840.93,836.66,832.47
842.17,881.96,872.86,840.93,836.66,832.47,855.18
881.96,872.86,840.93,836.66,832.47,855.18,847.91
872.86,840.93,836.66,832.47,855.18,847.91,852.07
840.93,836.66,832.47,855.18,847.91,852.07,880.26
836.66,832.47,855.18,847.91,852.07,880.26,877.43
832.47,855.18,847.91,852.07,880.26,877.43,881.9699999999999
855.18,847.91,852.07,880.26,877.43,881.9699999999999,907.37
847.91,852.07,880.26,877.43,881.9699999999999,907.37,919.6099999999999
852.07,880.26,877.43,881.9699999999999,907.37,919.6099999999999,981.2299999999999
880.26,877.43,881.9699999999999,907.37,919.6099999999999,981.2299999999999,1014.9099999999999
877.43,881.9699999999999,907.37,919.6099999999999,981.2299999999999,1014.9099999999999,1010.1700000000001
881.9699999999999,907.37,919.6099999999999,981.2299999999999,1014.9099999999999,1010.1700000000001,1007.7200000000001
907.37,919.6099999999999,981.2299999999999,1014.9099999999999,1010.1700000000001,1007.7200000000001,1003.6600000000002
919.6099999999999,981.2299999999999,1014.9099999999999,1010.1700000000001,1007.7200000000001,1003.6600000000002,992.4899999999999
981.2299999999999,1014.9099999999999,1010.1700000000001,1007.7200000000001,1003.6600000000002,992.4899999999999,978.3499999999999
1014.9099999999999,1010.1700000000001,1007.7200000000001,1003.6600000000002,992.4899999999999,978.3499999999999,974.05
1010.1700000000001,1007.7200000000001,1003.6600000000002,992.4899999999999,978.3499999999999,974.05,1021.53
1007.7200000000001,1003.6600000000002,992.4899999999999,978.3499999999999,974.05,1021.53,1036.5600000000002
1003.6600000000002,992.4899999999999,978.3499999999999,974.05,1021.53,1036.5600000000002,999.2099999999999
992.4899999999999,978.3499999999999,974.05,1021.53,1036.5600000000002,999.2099999999999,1009.4300000000002
978.3499999999999,974.05,1021.53,1036.5600000000002,999.2099999999999,1009.4300000000002,1017.4400000000002
