Feature,Mean_Abs_SHAP,Sector
High,63.06807613696641,NIFTY 50
Low,55.81762401975644,NIFTY 50
Open,13.231283729989721,NIFTY 50
MA_20,9.40683638739902,NIFTY 50
MA_10,7.216837445290327,NIFTY 50
MA_5,1.9803157995273912,NIFTY 50
Return,1.0261333315818593,NIFTY 50
Volatility,0.03675837465508315,NIFTY 50
HL_Range,0.030596896425881384,NIFTY 50
Month,0.02054762875538447,NIFTY 50
Day_of_Week,0.01894318206894983,NIFTY 50
High,63.06807613696641,NIFTY AUTO
Low,55.81762401975644,NIFTY AUTO
Open,13.231283729989721,NIFTY AUTO
MA_20,9.40683638739902,NIFTY AUTO
MA_10,7.216837445290327,NIFTY AUTO
MA_5,1.9803157995273912,NIFTY AUTO
Return,1.0261333315818593,NIFTY AUTO
Volatility,0.03675837465508315,NIFTY AUTO
HL_Range,0.030596896425881384,NIFTY AUTO
Month,0.02054762875538447,NIFTY AUTO
Day_of_Week,0.01894318206894983,NIFTY AUTO
High,63.06807613696641,NIFTY BANK
Low,55.81762401975644,NIFTY BANK
Open,13.231283729989721,NIFTY BANK
MA_20,9.40683638739902,NIFTY BANK
MA_10,7.216837445290327,NIFTY BANK
MA_5,1.9803157995273912,NIFTY BANK
Return,1.0261333315818593,NIFTY BANK
Volatility,0.03675837465508315,NIFTY BANK
HL_Range,0.030596896425881384,NIFTY BANK
Month,0.02054762875538447,NIFTY BANK
Day_of_Week,0.01894318206894983,NIFTY BANK
High,63.06807613696641,NIFTY CHEMICALS
Low,55.81762401975644,NIFTY CHEMICALS
Open,13.231283729989721,NIFTY CHEMICALS
MA_20,9.40683638739902,NIFTY CHEMICALS
MA_10,7.216837445290327,NIFTY CHEMICALS
MA_5,1.9803157995273912,NIFTY CHEMICALS
Return,1.0261333315818593,NIFTY CHEMICALS
Volatility,0.03675837465508315,NIFTY CHEMICALS
HL_Range,0.030596896425881384,NIFTY CHEMICALS
Month,0.02054762875538447,NIFTY CHEMICALS
Day_of_Week,0.01894318206894983,NIFTY CHEMICALS
High,63.06807613696641,NIFTY CONSUMER DURABLES
Low,55.81762401975644,NIFTY CONSUMER DURABLES
Open,13.231283729989721,NIFTY CONSUMER DURABLES
MA_20,9.40683638739902,NIFTY CONSUMER DURABLES
MA_10,7.216837445290327,NIFTY CONSUMER DURABLES
MA_5,1.9803157995273912,NIFTY CONSUMER DURABLES
Return,1.0261333315818593,NIFTY CONSUMER DURABLES
Volatility,0.03675837465508315,NIFTY CONSUMER DURABLES
HL_Range,0.030596896425881384,NIFTY CONSUMER DURABLES
Month,0.02054762875538447,NIFTY CONSUMER DURABLES
Day_of_Week,0.01894318206894983,NIFTY CONSUMER DURABLES
High,63.06807613696641,NIFTY FINANCIAL SERVICES
Low,55.81762401975644,NIFTY FINANCIAL SERVICES
Open,13.231283729989721,NIFTY FINANCIAL SERVICES
MA_20,9.40683638739902,NIFTY FINANCIAL SERVICES
MA_10,7.216837445290327,NIFTY FINANCIAL SERVICES
MA_5,1.9803157995273912,NIFTY FINANCIAL SERVICES
Return,1.0261333315818593,NIFTY FINANCIAL SERVICES
Volatility,0.03675837465508315,NIFTY FINANCIAL SERVICES
HL_Range,0.030596896425881384,NIFTY FINANCIAL SERVICES
Month,0.02054762875538447,NIFTY FINANCIAL SERVICES
Day_of_Week,0.01894318206894983,NIFTY FINANCIAL SERVICES
High,63.06807613696641,NIFTY FMCG
Low,55.81762401975644,NIFTY FMCG
Open,13.231283729989721,NIFTY FMCG
MA_20,9.40683638739902,NIFTY FMCG
MA_10,7.216837445290327,NIFTY FMCG
MA_5,1.9803157995273912,NIFTY FMCG
Return,1.0261333315818593,NIFTY FMCG
Volatility,0.03675837465508315,NIFTY FMCG
HL_Range,0.030596896425881384,NIFTY FMCG
Month,0.02054762875538447,NIFTY FMCG
Day_of_Week,0.01894318206894983,NIFTY FMCG
High,63.06807613696641,NIFTY IT
Low,55.81762401975644,NIFTY IT
Open,13.231283729989721,NIFTY IT
MA_20,9.40683638739902,NIFTY IT
MA_10,7.216837445290327,NIFTY IT
MA_5,1.9803157995273912,NIFTY IT
Return,1.0261333315818593,NIFTY IT
Volatility,0.03675837465508315,NIFTY IT
HL_Range,0.030596896425881384,NIFTY IT
Month,0.02054762875538447,NIFTY IT
Day_of_Week,0.01894318206894983,NIFTY IT
High,63.06807613696641,NIFTY MEDIA
Low,55.81762401975644,NIFTY MEDIA
Open,13.231283729989721,NIFTY MEDIA
MA_20,9.40683638739902,NIFTY MEDIA
MA_10,7.216837445290327,NIFTY MEDIA
MA_5,1.9803157995273912,NIFTY MEDIA
Return,1.0261333315818593,NIFTY MEDIA
Volatility,0.03675837465508315,NIFTY MEDIA
HL_Range,0.030596896425881384,NIFTY MEDIA
Month,0.02054762875538447,NIFTY MEDIA
Day_of_Week,0.01894318206894983,NIFTY MEDIA
High,63.06807613696641,NIFTY METAL
Low,55.81762401975644,NIFTY METAL
Open,13.231283729989721,NIFTY METAL
MA_20,9.40683638739902,NIFTY METAL
MA_10,7.216837445290327,NIFTY METAL
MA_5,1.9803157995273912,NIFTY METAL
Return,1.0261333315818593,NIFTY METAL
Volatility,0.03675837465508315,NIFTY METAL
HL_Range,0.030596896425881384,NIFTY METAL
Month,0.02054762875538447,NIFTY METAL
Day_of_Week,0.01894318206894983,NIFTY METAL
High,63.06807613696641,NIFTY PHARMA
Low,55.81762401975644,NIFTY PHARMA
Open,13.231283729989721,NIFTY PHARMA
MA_20,9.40683638739902,NIFTY PHARMA
MA_10,7.216837445290327,NIFTY PHARMA
MA_5,1.9803157995273912,NIFTY PHARMA
Return,1.0261333315818593,NIFTY PHARMA
Volatility,0.03675837465508315,NIFTY PHARMA
HL_Range,0.030596896425881384,NIFTY PHARMA
Month,0.02054762875538447,NIFTY PHARMA
Day_of_Week,0.01894318206894983,NIFTY PHARMA
High,63.06807613696641,NIFTY PRIVATE BANK
Low,55.81762401975644,NIFTY PRIVATE BANK
Open,13.231283729989721,NIFTY PRIVATE BANK
MA_20,9.40683638739902,NIFTY PRIVATE BANK
MA_10,7.216837445290327,NIFTY PRIVATE BANK
MA_5,1.9803157995273912,NIFTY PRIVATE BANK
Return,1.0261333315818593,NIFTY PRIVATE BANK
Volatility,0.03675837465508315,NIFTY PRIVATE BANK
HL_Range,0.030596896425881384,NIFTY PRIVATE BANK
Month,0.02054762875538447,NIFTY PRIVATE BANK
Day_of_Week,0.01894318206894983,NIFTY PRIVATE BANK
High,63.06807613696641,NIFTY PSU BANK
Low,55.81762401975644,NIFTY PSU BANK
Open,13.231283729989721,NIFTY PSU BANK
MA_20,9.40683638739902,NIFTY PSU BANK
MA_10,7.216837445290327,NIFTY PSU BANK
MA_5,1.9803157995273912,NIFTY PSU BANK
Return,1.0261333315818593,NIFTY PSU BANK
Volatility,0.03675837465508315,NIFTY PSU BANK
HL_Range,0.030596896425881384,NIFTY PSU BANK
Month,0.02054762875538447,NIFTY PSU BANK
Day_of_Week,0.01894318206894983,NIFTY PSU BANK
