Sector,Mean Daily Return,Daily Volatility,Annualized Return,Annualized Volatility,VaR (5%),CVaR (5%),Max Drawdown,Drawdown Duration (days),Sharpe Ratio,Downside Volatility,Sortino Ratio,Rolling VaR,Rolling CVaR
NIFTY 50,0.0004830558345379745,0.013149220672817114,0.12941599275769478,0.20873740700750099,-0.018876413889723564,-0.031061987211176246,-0.5985591259333478,746,0.6199942531289766,0.16195184132770954,0.7991017063882684,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.011281
3      -0.011281
2      -0.011281
1      -0.011281
0      -0.010873
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.017074
3      -0.017074
2      -0.017074
1      -0.017074
0      -0.017011
Name: Return, Length: 4604, dtype: float64"
NIFTY AUTO,0.0006099671008742535,0.014369880593843185,0.16610000161843796,0.22811478252601336,-0.021768665492472514,-0.03284377637820497,-0.6238249081992053,959,0.7281422088439031,0.16558827720953148,1.0030903420068737,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.018697
3      -0.018697
2      -0.018697
1      -0.018697
0      -0.018697
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.027678
3      -0.027678
2      -0.027678
1      -0.027678
0      -0.027678
Name: Return, Length: 4604, dtype: float64"
NIFTY BANK,0.0006379970402579729,0.017520950323293063,0.17436078744135752,0.2781364637337011,-0.02636872005978883,-0.04055238110636716,-0.687830366364907,633,0.626889351725912,0.2048777954477548,0.8510477529314331,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.009787
3      -0.009787
2      -0.009787
1      -0.009787
0      -0.009787
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.014775
3      -0.014775
2      -0.014775
1      -0.014775
0      -0.014775
Name: Return, Length: 4604, dtype: float64"
NIFTY CHEMICALS,0.0007646911906271967,0.013602595792082589,0.21243233822639818,0.21593451390470517,-0.020778947715004725,-0.03281062789375768,-0.7091651082507474,659,0.9837813065869936,0.17128179269698598,1.2402505536721669,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.019219
3      -0.019219
2      -0.019219
1      -0.019219
0      -0.017403
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.024401
3      -0.024401
2      -0.024401
1      -0.024401
0      -0.023928
Name: Return, Length: 4604, dtype: float64"
NIFTY CONSUMER DURABLES,0.0007179043720682573,0.014753608928618905,0.19823182872938072,0.23420628099496632,-0.02209871247212215,-0.035247662500486214,-0.8020608008042148,1177,0.8463984308501155,0.18150602586032497,1.0921501244367877,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.022474
3      -0.022474
2      -0.022474
1      -0.022474
0      -0.022474
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.024101
3      -0.024101
2      -0.024101
1      -0.024101
0      -0.024101
Name: Return, Length: 4604, dtype: float64"
NIFTY FINANCIAL SERVICES,0.0006711593733878824,0.01700530189555441,0.18420946066244404,0.2699507987112735,-0.025249371443317833,-0.03979335382784092,-0.6999205587799915,653,0.6823816100631942,0.20230034656164975,0.9105741230468302,"4603        NaN
4602        NaN
4601        NaN
4600        NaN
4599        NaN
         ...   
4      -0.01024
3      -0.01024
2      -0.01024
1      -0.01024
0      -0.01024
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.017357
3      -0.017357
2      -0.017357
1      -0.017357
0      -0.017357
Name: Return, Length: 4604, dtype: float64"
NIFTY FMCG,0.0005808454740691619,0.011662683759041956,0.1575787808305622,0.1851393650761018,-0.01724492545049482,-0.02637053500402362,-0.356393053760776,560,0.8511360118675422,0.13356991187084044,1.179747584043762,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.013367
3      -0.013367
2      -0.013367
1      -0.013367
0      -0.013367
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.017242
3      -0.017242
2      -0.017242
1      -0.017242
0      -0.017242
Name: Return, Length: 4604, dtype: float64"
NIFTY IT,0.0005236213242157186,0.015443602063038802,0.14101479691089436,0.24515958243506838,-0.023202702788632165,-0.036138283348294706,-0.6566361663993958,715,0.5751959418035097,0.17875123473926963,0.7888885193804762,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.024995
3      -0.024995
2      -0.024995
1      -0.024995
0      -0.024471
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.033528
3      -0.033528
2      -0.033528
1      -0.033528
0      -0.032231
Name: Return, Length: 4604, dtype: float64"
NIFTY MEDIA,0.00014009753620559994,0.01763780568812534,0.0359326233153312,0.2799914851419607,-0.027085987253585218,-0.04139823277911069,-0.7925673976717476,2141,0.1283347002395902,0.20708747203607375,0.17351423030105798,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.029423
3      -0.029423
2      -0.029423
1      -0.029423
0      -0.028143
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.036183
3      -0.036183
2      -0.036183
1      -0.036183
0      -0.033499
Name: Return, Length: 4604, dtype: float64"
NIFTY METAL,0.0005095824781960129,0.02020494648296432,0.13698733603493296,0.32074358188375646,-0.03142566124396846,-0.04720004912456341,-0.7836201639985799,3300,0.4270929919482528,0.23053585771100654,0.5942127068434471,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.020116
3      -0.020116
2      -0.020116
1      -0.020116
0      -0.017749
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.036079
3      -0.036079
2      -0.036079
1      -0.036079
0      -0.034414
Name: Return, Length: 4604, dtype: float64"
NIFTY PHARMA,0.0005354641254846361,0.012303361895407757,0.14442330407682347,0.1953098151916632,-0.018446914045629346,-0.027591929849419536,-0.5349410569620008,1505,0.7394574816175863,0.1397125264676815,1.033717646715319,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.020734
3      -0.020734
2      -0.020734
1      -0.019593
0      -0.019239
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.027109
3      -0.027109
2      -0.027109
1      -0.026913
0      -0.025874
Name: Return, Length: 4604, dtype: float64"
NIFTY PRIVATE BANK,0.0007169629161645078,0.018009465033832533,0.19794778943163815,0.28589139434900596,-0.026164398058239446,-0.04195759726914744,-0.7464967581271178,637,0.6923880653434101,0.21452850245486327,0.922710908650874,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.011978
3      -0.011978
2      -0.012140
1      -0.012140
0      -0.012140
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.016160
3      -0.016160
2      -0.016795
1      -0.016795
0      -0.016795
Name: Return, Length: 4604, dtype: float64"
NIFTY PSU BANK,0.0005114569248384761,0.021701034261337515,0.13752425669430823,0.344493239090348,-0.03302800204013452,-0.04678132481247197,-0.7977629667384059,3197,0.3992074185764808,0.22766434603882588,0.6040658499546294,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.022095
3      -0.022095
2      -0.022095
1      -0.022095
0      -0.022095
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.028468
3      -0.028468
2      -0.028468
1      -0.028468
0      -0.028468
Name: Return, Length: 4604, dtype: float64"
NIFTY REALTY,0.00028661449981708706,0.024726314708458992,0.07488803782966125,0.3925180773462063,-0.038954976558711,-0.05845750553525077,-0.9317248979200712,4345,0.19078876146539608,0.2926098286656232,0.25593138197431764,"4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.029405
3      -0.027888
2      -0.029405
1      -0.029405
0      -0.029405
Name: Return, Length: 4604, dtype: float64","4603         NaN
4602         NaN
4601         NaN
4600         NaN
4599         NaN
          ...   
4      -0.037990
3      -0.035480
2      -0.037289
1      -0.037289
0      -0.037289
Name: Return, Length: 4604, dtype: float64"
