Sector,Annualized Volatility,GARCH Annualized Volatility
NIFTY 50,0.20873740700750099,0.18321882632029846
NIFTY AUTO,0.22811478252601336,0.21560173960493975
NIFTY BANK,0.2781364637337011,0.251786079359645
NIFTY CHEMICALS,0.21593451390470517,0.2004642559745176
NIFTY CONSUMER DURABLES,0.23420628099496632,0.2164145385540114
NIFTY FINANCIAL SERVICES,0.2699507987112735,0.2420357412742777
NIFTY FMCG,0.1851393650761018,0.17543029877330607
NIFTY IT,0.24515958243506838,0.2319843934911608
NIFTY MEDIA,0.2799914851419607,0.2679599173489424
NIFTY METAL,0.32074358188375646,0.30328250370301296
NIFTY PHARMA,0.1953098151916632,0.18657461802508152
NIFTY PRIVATE BANK,0.28589139434900596,0.25378689777819763
NIFTY PSU BANK,0.344493239090348,0.33288807172009516
NIFTY REALTY,0.3925180773462063,0.36690206149821225
