Sector,Historical Volatility,GARCH Annualized Volatility,RMSE,MAE,MAPE (%)
NIFTY 50,0.2089158556929523,0.1845828502792103,0.1993273199785763,0.17142238839583385,1302.5560190434153
NIFTY AUTO,0.2283479882379918,0.2172053122953599,0.21747160895473686,0.20282074112251156,1409.988095476543
NIFTY BANK,0.27820517775815473,0.2501851238466936,0.2650833156568208,0.23265984494672703,1327.5671461477914
NIFTY CHEMICALS,0.21703594616127508,0.2000986813724977,0.20249815012669617,0.18642670187001345,1363.5677396688561
NIFTY CONSUMER DURABLES,0.23484051296921346,0.2163149771368781,0.22161798782834047,0.2015214153492739,1362.223771682436
NIFTY FINANCIAL SERVICES,0.27002573359280874,0.24012603743394992,0.2554203454224529,0.22311601508456058,1311.6738502849216
NIFTY FMCG,0.18528261125170067,0.17438559821074193,0.17303419071680906,0.16271389079082152,1394.0881564004355
NIFTY IT,0.24530713312876162,0.2301395017539656,0.2286838469643049,0.21468660487089616,1389.2968192010114
NIFTY MEDIA,0.2808316696427671,0.2709656825178803,0.266027593320375,0.2532749501810753,1431.6815457896296
NIFTY METAL,0.3213834394986217,0.3027339834943951,0.30093038997232924,0.28248872977039685,1395.333116697577
NIFTY PHARMA,0.1954328509164415,0.18778240361836954,0.18450430774201318,0.1754712912008156,1425.3081707760036
NIFTY PRIVATE BANK,0.2862054723540967,0.25185805338814404,0.2711473743517431,0.2338288032996985,1296.9413711197747
NIFTY PSU BANK,0.342970216520264,0.33609544514019113,0.32870883841993004,0.3144903522827007,1455.6306439278683
NIFTY REALTY,0.39439468896443824,0.365668032619596,0.3693427789302169,0.3408235024909157,1371.82510888975
